cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Fe,sulfate,Iron(II) sulfate,FeSO4·H2O,FeSO4,monohydrate,H2O,solid,,169.924,,-1243.69,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,sulfate,Iron(II) sulfate,FeSO4·4H2O,FeSO4,4-hydrate,4H2O,solid,,223.9702,,-2129.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,sulfate,Iron(II) sulfate,FeSO4·7H2O,FeSO4,7-hydrate,7H2O,solid,,278.0164,,-3014.57,-2509.87,,409.2,394.47,1418.8731312253524,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,phosphate,Iron(III) phosphate,FePO4·2H2O,FePO4,dihydrate,2H2O,solid,strengite,186.8492,-1863.05,-1888.2,-1657.5,27.644,171.25,180.54,966.2337328712138,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,oxide,oxalate,FeC2O4·2H2O,FeC2O4,dihydrate,2H2O,solid,,179.8978,,-1482.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,chloride,Manganese(II) chloride,MnCl2·H2O,MnCl2,monohydrate,H2O,solid,,143.8594,,-789.9,-696.1,,174.1,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,chloride,Manganese(II) chloride,MnCl2·2H2O,MnCl2,dihydrate,2H2O,solid,,161.8748,,-1092.0,-942.1,,218.8,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,chloride,Manganese(II) chloride,MnCl2·4H2O,MnCl2,4-hydrate,4H2O,solid,,197.9056,,-1687.4,-1423.6,,303.3,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,sulfate,Manganese(II) sulfate,MnSO4·H2O,MnSO4,monohydrate,H2O,solid,α,169.015,,-1376.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,sulfate,Manganese(II) sulfate,MnSO4·H2O,MnSO4,monohydrate,H2O,solid,β,169.015,,-1348.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,sulfate,Manganese(II) sulfate,MnSO4·4H2O,MnSO4,4-hydrate,4H2O,solid,,223.0612,,-2258.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,sulfate,Manganese(II) sulfate,MnSO4·5H2O,MnSO4,5-hydrate,5H2O,solid,,241.0766,,-2553.1,,,,326.0,1352.2672876587774,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,sulfate,Manganese(II) sulfate,MnSO4·7H2O,MnSO4,7-hydrate,7H2O,solid,,277.1074,,-3139.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,oxide,,MnS2O6·2H2O,MnS2O6,dihydrate,2H2O,solid,,251.0932,,,,,279.1,241.33,961.1172265915604,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,oxide,,MnS2O6·6H2O,MnS2O6,6-hydrate,6H2O,solid,,323.1548,,-3142.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,oxide,,MnC2O4·2H2O,MnC2O4,dihydrate,2H2O,solid,,178.9888,,-1628.4,-1414.9,,201.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mn,oxide,,MnC2O4·3H2O,MnC2O4,trihydrate,3H2O,solid,,197.0042,,-1920.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,oxide,Chromium(III) oxide,Cr2O3·H2O,Cr2O3,monohydrate,H2O,solid,,170.0056,,-1506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,oxide,Chromium(III) oxide,Cr2O3·2H2O,Cr2O3,dihydrate,2H2O,solid,,188.021,,-1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,oxide,Chromium(III) oxide,Cr2O3·3H2O,Cr2O3,trihydrate,3H2O,solid,,206.0364,,-2171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,chloride,,CrCl2·2H2O,CrCl2,dihydrate,2H2O,solid,light green,158.9328,,-992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,chloride,,CrCl2·3H2O,CrCl2,trihydrate,3H2O,solid,pale blue,176.9482,,-1292.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
