formula,CID,CAS,color,boiling_point_text,Tb_C_pubchem,melting_point_text,Tm_C_pubchem,solubility,density_text,density_g_per_cm3_pubchem,vapor_pressure_text,vapor_pressure_mmHg_pubchem,decomposition_text,stability,Td_C_pubchem,flash_point_text,flash_point_C_pubchem
FePO4,24861.0,10045-86-0,,,,,,,"White, grayish-white, or light pink, orthorhombic or monoclinic crystals or amorphous powder. Loses water above 140 °C; density: 2.8. Practically insoluble in water; readily soluble in hydrochloric acid; slowly soluble in nitric acid. /Dihydrate/",,,,,,,,
FeCO3,115133.0,14476-16-5,,,,,,,,,,,,,,,
ZnFe2O4,11831558.0,12063-19-3,,,,,,,,,,,,,,,
CuFe2O4,16217788.0,37220-43-2,,,,,,,,,,,,,,,
MnO,444604.0,,,,,,,,,,,,,,,,
MnO2,14801.0,1313-13-9,,,,,,Solubility in water: none,5.0 g/cmÂ³,5.0,,,535Â °C,,535.0,,
Mn2O3,131675775.0,,,,,,,,,,,,,,,,
Mn3O4,160959.0,11129-60-5,,,,,,,,,,,,,,,
MnF2,24528.0,,,,,,,,,,,,,,,,
MnCl2,24480.0,,,,,,,,,,,,,,,,
MnS,672296.0,1485-00-3,,,,,,,,,,,,,,,
MnSO4,24580.0,7785-87-7,White orthorhombic crystals,Decomp @ 850 °C,850.0,700 °C,700.0,"Pale red, slightly efflorescent crystals; sol in about 1 part cold, 0.6 part boiling water; insol in alcohol; loses all water @ 400-450 °C. /Monohydrate/; 52 G/100 CC OF WATER @ 5 °C; 70 G/100 CC OF WATER @ 70 °C; SOL IN ALCOHOL; INSOL IN ETHER; Slightly soluble in methanol.","Translucent, pale-rose-red, efflorescent prisms; density 2.107 g/cu cm; MP 30 °C; decomposes at 850 °C; soluble in water; insoluble in alcohol. /Tetrahydrate/",2.107,,,When heated to decomposition it emits toxic fumes of /sulfur oxides/.,,,,
CrO2,15972932.0,12018-01-8,,,,,,,,,,,,,,,
CrO3,14915.0,1333-82-0,"Dark red, bipyramidal prismatic crystals, flakes or granular powder; Brown solid; Flake, ground powder form; Dark-red ... flakes or powder [Note: Often used in an aqueous solution (H2CrO4)]",482 °F (Decomposes),250.0,387 °F (Decomposes),197.22,"Very soluble (NTP, 1992); Solubility in water, 61.7 g/100 cc solution at 0 °C; 67.45 g/100 cc solution at 100 °C; In water, 169 g/100 g water at 25 °C; In water, 1667 g/L (EU Method A.6 (Water Solubility)); In water, 167.299 lb/100 lb water at 70 °F; Soluble in ethyl alcohol, ethyl ether, sulfuric and nitric acids; For more Solubility (Complete) data for CHROMIC TRIOXIDE (6 total), please visit the HSDB record page.; Solubility in water, g/100ml: 61.7 (good); 63%",2.70 (CrO3),2.7,Very low,,250Â °C,Stable under recommended storage conditions.; Trivalent chromium is the most stable oxidation state and hexavalent chromium is the second most stable state. /Trivalent and hexavalent chromium/,250.0,,
CrF3,522687.0,7788-97-8,,,,,,,,,,,,,,,
CrCl2,24871.0,10049-05-5,"Lustrous needles or fused, fibrous mass; White deliquescent needles; Gives blue solution when dissolved in water",1300Â °C,1300.0,824Â °C,824.0,Very soluble in water; Insoluble in alcohol and ether; Solubility in water: very good,2.8 g/cmÂ³,2.8,Essentially zero (except water of crystallization),,When heated to decomposition it emits toxic vapors of /chromium/.,"STABLE IN DRY AIR BUT OXIDIZES RAPIDLY IF MOIST; Hygroscopic; above 38 °C changes to isomeric green modification; loses 1 H2O, forming trihydrate at 51 °C; absorbs O2 even when dry, forming greenish-black oxychloride; on standing in solution it is oxidized by water with liberation of hydrogen. /Tetrahydrate/; Stable under recommended storage conditions.",,,
CrCl3,24808.0,10025-73-7,"Violet, lustrous, hexagonal, crystalline scales; Red-violet crystals; Bright purple plates",1300 °C (decomposes),1300.0,1152Â °C,1152.0,"Insoluble in water; Insoluble in alcohol; Slightly soluble in hot water. Insoluble in cold water, alcohol, acetone, methanol, and ether; Addition of a trace of chromium dichloride (CrCl2) or wetting agent aid in rapid solution in water, alcohol; Solubility in water: none",2.87 g/cmÂ³,2.87,,,1300Â °C,Stable under recommended storage conditions; Extremely unstable,1300.0,,
CrN,6438343.0,262-76-0,,,,,,,,,,,,,,,
Ti2O3,123111.0,1344-54-3,,,,,,,,,,,,,,,
TiF4,121824.0,7783-63-3,,,,,,,,,,,,,,,
TiCl2,66228.0,10049-06-6,,,,,,,,,,,,,,,
TiCl3,62646.0,7705-07-9,,,,,,,,,,,,,,,
TiCl4,24193.0,7550-45-0,Colorless liquid; Yellow liquid,136.4Â °C,136.4,-24.1Â °C,-24.1,"Sol in cold water, alcohol; Sol in dilute hydrochloric acid; Sol in most organic solvents; decomposed by water; Solubility in water: reaction",Relative vapor density  (air = 1): 6.5,1.0,"Vapor pressure, kPa at 21.3Â °C: 1.3",1520.0,When heated to decomposition it emits toxic fumes of /hydrogen chloride/.,EVOLVES DENSE WHITE FUMES; CONCENTRATED AQ SOLN ARE STABLE,,,
TiS,138754.0,,,,,,,,,,,,,,,,
TiN,5352426.0,7440-31-5,"Cubic (gray); tetragonal (white); rhomboidal (tin brittle); Almost silver-white, lustrous soft, very malleable & ductile metal; only slightly tenacious; easily powdered; when bent emits crackling ""tin cry""; brittle @ 200 °C; brinell hardness 2.9; at -40 °C crumbles to gray amorphous powder (gray tin); slowly changes back above 20 °C to white tin",4545 °F,2507.22,449 °F,231.67,"Insoluble (NIOSH, 2024); SOL IN HYDROCHLORIC ACID, SULFURIC ACID, AQUA REGIA, ALKALI; SLIGHTLY SOL IN DIL NITRIC ACID; INSOL IN WATER; Solubility in water: none; Insoluble",7.28,7.28,0 mmHg (approx),0.0,,"STABLE IN AIR, BUT WHEN IN POWDER FORM IT OXIDIZES, ESP IN PRESENCE OF MOISTURE; stablilizes <18 °C",,,
TiB2,11412340.0,,,,,,,,,,,,,,,,
ZrO2,62395.0,1314-23-4,,,,,,,,,,,,,,,
ZrF4,82216.0,13842-94-9,,,,,,,,,,,,,,,
ZrCl4,24817.0,11126-30-0,Lustrous monoclinic crystals; White monoclinic crystals; hygroscopic,331 °C,331.0,437 °C (triple point),437.0,"Decomposed by water to form ZrOCl2 and HCl; Reacts with water; Soluble in alcohol, ether",2.80 g/cu cm,2.8,Vapor pressure (solid): 1 Pa at 117 °C; 10 Pa at 146 °C; 100 Pa at 181 °C; 1 kPa at 222 °C; 10 kPa at 272 °C; 100 kPa at 336 °C,0.007501,When heated to decomposition it emits toxic fumes of /hydrogen chloride/.,Stable under recommended storage conditions.; ...Forms hydrochloric acid vapor and gives off fumes in moist air.,,,
Zr(SO4)2,26793.0,14644-61-2,White crystals,,,410 °C,410.0,"Crystalline solid. Converted to monohydrate at 100 °C, to anhydrous form at 380 °C; solubility in water at 18 °C: 52.5 g/100 g solution. A solution at room temperature deposits a solid on standing. The more dilute the solution the more rapid the decomposition /Zirconium sulfate tetrahydrate/; Soluble in water; Slightly soluble in ethanol",White crystalline powder; bulk density: 70 lb/cu ft; decomposes to monohydrate at 100 °C; soluble in water; slightly soluble in alcohol; insoluble in hydrocarbons; aqueous solutions are strongly acidic; aqueous solutions will precipitate potassium ions and amino acids from solution; aqueous solutions are decomposed by bases and heat. /Zirconium sulfate tetrahydrate/,2.8,,,Aqueous solutions are ... decomposed by bases and heat.,"Solution at room temperature deposits a solid on standing. The more dilute the solution, the more rapid the deposition. /Zirconium sulfate tetrahydrate/; When heated to 70 °C for 2 hours ... zirconium sulfate solutions ... were considered unstable at metal concentrations below 0.64 M or at sulfur trioxide:zirconium oxide (SO3:ZrO2) ratios < 1.2. /Zirconium sulfate solutions/",,,
ZrB2,9812765.0,12045-64-6,,,,,,,,,,,,,,,
YF3,448671.0,,,,,,,,,,,,,,,,
YCl3,10198055.0,10361-92-9,,,,,,,,,,,,,,,
YC2,24951652.0,,,,,,,,,,,,,,,,
CeO2,73963.0,1306-38-3,,,,,,,,,,,,,,,
CeF3,146157902.0,199727-62-3,,,,,,,,,,,,,,,
CeCl3,161282.0,7790-86-5,,,,,,,,,,,,,,,
CeS,8809.0,140-57-8,Colorless liquid; Clear light-colored oil,BP: 195 °C at 2 mm Hg,195.0,-31.7 °C,-31.7,"Practically insol in water; miscible with many organic solvents; solubility in petroleum oils decr rapidly with decr temperatures; > 10% in ethanol; > 10% in benzene; > 10% in acetone; For more Solubility (Complete) data for ARAMITE (7 total), please visit the HSDB record page.",DENSITY: 1.145-1.162 /TECHNICAL PRODUCT/,1.145,0.00000022 [mmHg],,"WHEN HEATED TO DECOMPOSITION, EMITS HIGHLY TOXIC FUMES OF /HYDROGEN CHLORIDE AND SULFUR OXIDES/.",STABILITY IN SOLN DECREASES IN STRONG ACID OR ALKALI; TECHNICAL MATERIAL IS DECOMPOSED BY SUNLIGHT AND DEVELOPS ODOR OF SULFUR DIOXIDE. /TECHNICAL MATERIAL/,,,
Ce2S3,159394.0,12014-93-6,,,,,,,,,,,,,,,
CeN,446570.0,27920-90-7,,,,,,,,,,,,,,,
La2O3,3280778.0,,,,,,,,,,,,,,,,
LaCl3,64735.0,10099-58-8,,,,,,,,,,,,,,,
La2S3,165996.0,12031-49-1,,,,,,,,,,,,,,,
LaC2,123280.0,12071-15-7,,,,,,,,,,,,,,,
La2(CO3)3,168924.0,587-26-8,White powder,,,,,Practically insoluble.; Soluble in acids; Practically insoluble in water,2.6,2.6,,,,,,,
MgS,445507.0,,,,,,,,,,,,,,,,
