cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Zn,fluoride,Zinc fluoride,ZnF2,ZnF2,anhydrous,,solid,,103.3668,-761.78,-764.4,-713.3,11.828,73.68,65.65,635.1168847250763,872.0,1145.15,500.0,773.15,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,573640-07-0,,24551.0,COLORLESS MONOCLINIC OR TRICLINIC CRYSTALS; TETRAGONAL NEEDLES (RUTILE LATTICE) OR WHITE CRYSTALLINE MASS,,"1.516 G SOL IN 100 ML WATER; BECOMES ANHYDR AT 100 °C /TETRAHYDRATE/; INSOL IN ALCOHOL & AMMONIA; SOL IN HOT ACID; SLIGHTLY SOL IN AQ HYDROFLUORIC ACID; SOL IN AMMONIUM HYDROXIDE, HYDROCHLORIC & NITRIC ACIDS; 1.62 G/100 CC WATER AT 20 °C",,,872.0,500.0,,,,
Zn,chloride,Zinc chloride,ZnCl2,ZnCl2,anhydrous,,solid,,136.276,-415.283,-415.05,-369.398,15.054,111.46,71.34,523.496433708063,290.0,563.15,732.0,1005.15,,10.3,,,2.907,,,,,,,,,,,,,101.325,NBS Tables,,,A,7646-85-7,,,,,,,,,,,,,
Zn,chloride,,Zn2(OH)3Cl,Zn2(OH)3Cl,anhydrous,,solid,,217.2152,,,-1050.1,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,sulfide,wurtzite,ZnS,ZnS,anhydrous,,solid,,97.434,,-192.63,,,,,,1830.0,2103.15,,,,46.0,,,4.09,,,,,,,,,,,,,101.325,NBS Tables,,,A,1314-98-3,,54104351.0,,,,,,,,,,,
Zn,sulfide,sphalerite,ZnS,ZnS,anhydrous,,solid,,97.434,,-205.98,-201.29,,57.7,46.0,472.11445696574094,1830.0,2103.15,,,,46.0,,,4.09,,,,,,,,,,,,,101.325,NBS Tables,,,A,1314-98-3,,54104351.0,,,,,,,,,,,
Zn,sulfate,Zinc sulfate,ZnSO4,ZnSO4,anhydrous,,solid,,161.4316,,-982.8,-871.5,,110.5,99.2,614.5017456309669,680.0,953.15,,,740.0,,,,3.54,,,,,,,,,,,,,101.325,NBS Tables,,,A,7733-02-0,,24424.0,"Colorless, orthorhombic crystals",,"Solubility: 54.480 lb/100 lb water /Heptahydrate/; 57.7 g/100 g water at 25 °C; In water solubility, 101 g/100 g water at 70 °C; Solubility in water, g/100ml at 20Â °C: 22 (good)",There is ... /a/ tendency for solutions of zinc sulfate to form slight cloudiness due to seperation of basic salt formed through partial hydrolysis.,,680.0,,,,,
Zn,sulfate,,ZnO·2ZnSO4,ZnO·2ZnSO4,anhydrous,,solid,,404.2326,,-2306.6,-2058.8,,279.9,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,sulfate,,ZnSO4·Zn(OH)2,ZnSO4·Zn(OH)2,anhydrous,,solid,,260.8164,,,-1470.1,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,nitride,,Zn3N2,Zn3N2,anhydrous,,solid,,224.1234,,-22.6,,,,109.0,486.3392220535652,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,chloride,,ZnCl2·2N2H4,ZnCl2·2N2H4,anhydrous,,solid,,200.3668,,-480.28,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
